evader_x,evader_y,evader_theta,pursuer_x,pursuer_y,pursuer_theta
0.250000,0.000000,0.000000,-14.646446,-14.646446,0.785398
0.500000,0.000000,0.000000,-14.292892,-14.292892,0.785398
0.750000,0.000000,0.000000,-13.939339,-13.939339,0.785398
1.000000,0.000000,0.000000,-13.585785,-13.585785,0.785398
1.250000,0.000000,0.000000,-13.232231,-13.232231,0.785398
1.500000,0.000000,0.000000,-12.878677,-12.878677,0.785398
1.750000,0.000000,0.000000,-12.525124,-12.525124,0.785398
2.000000,0.000000,0.000000,-12.171570,-12.171570,0.785398
2.250000,0.000000,0.000000,-11.818016,-11.818016,0.785398
2.500000,0.000000,0.000000,-11.464462,-11.464462,0.785398
2.750000,0.000000,0.000000,-11.110909,-11.110909,0.785398
3.000000,0.000000,0.000000,-10.757355,-10.757355,0.785398
3.250000,0.000000,0.000000,-10.403801,-10.403801,0.785398
3.500000,0.000000,0.000000,-10.050247,-10.050247,0.785398
3.750000,0.000000,0.000000,-9.696693,-9.696693,0.785398
4.000000,0.000000,0.000000,-9.343140,-9.343140,0.785398
4.250000,0.000000,0.000000,-8.989586,-8.989586,0.785398
4.500000,0.000000,0.000000,-8.636032,-8.636032,0.785398
4.750000,0.000000,0.000000,-8.282478,-8.282478,0.785398
5.000000,0.000000,0.000000,-7.928925,-7.928925,0.785398
5.250000,0.000000,0.000000,-7.575372,-7.575372,0.785398
5.500000,0.000000,0.000000,-7.221818,-7.221818,0.785398
5.750000,0.000000,0.000000,-6.868265,-6.868265,0.785398
6.000000,0.000000,0.000000,-6.514712,-6.514712,0.785398
6.250000,0.000000,0.000000,-6.161159,-6.161159,0.785398
6.500000,0.000000,0.000000,-5.807605,-5.807605,0.785398
6.750000,0.000000,0.000000,-5.454052,-5.454052,0.785398
7.000000,0.000000,0.000000,-5.100499,-5.100499,0.785398
7.250000,0.000000,0.000000,-4.746945,-4.746945,0.785398
7.500000,0.000000,0.000000,-4.393392,-4.393392,0.785398
7.750000,0.000000,0.000000,-4.039839,-4.039839,0.785398
8.000000,0.000000,0.000000,-3.686285,-3.686285,0.785398
8.250000,0.000000,0.000000,-3.332732,-3.332732,0.785398
8.500000,0.000000,0.000000,-2.979179,-2.979179,0.785398
8.750000,0.000000,0.000000,-2.625626,-2.625626,0.785398
9.000000,0.000000,0.000000,-2.272072,-2.272072,0.785398
9.250000,0.000000,0.000000,-1.918519,-1.918519,0.785398
